Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX80623I72600K,Intel,Core i7-2600K,231,75.1,144855,https://cpu.userbenchmark.com/Intel-Core-i7-2600K/Rating/621
CPU,YD1600BBAFBOX,AMD,Ryzen 5 1600AF,232,75,70093,https://cpu.userbenchmark.com/SpeedTest/563877/AMD-Ryzen-5-1600-Six-Core-Processor
CPU,,Intel,Xeon E5-2687W 0,233,74.8,720,https://cpu.userbenchmark.com/SpeedTest/8860/IntelR-XeonR-CPU-E5-2687W-0---310GHz
CPU,,Intel,Core i7-4790S,234,74.8,11387,https://cpu.userbenchmark.com/SpeedTest/13424/IntelR-CoreTM-i7-4790S-CPU---320GHz
CPU,YD195XA8AEWOF,AMD,Ryzen TR 1950X,235,74.8,21468,https://cpu.userbenchmark.com/AMD-Ryzen-TR-1950X/Rating/3932
CPU,YD2700BBAFBOX,AMD,Ryzen 7 2700,236,74.7,144325,https://cpu.userbenchmark.com/AMD-Ryzen-7-2700/Rating/3957
CPU,,Intel,Core i5-1145G7,237,74.6,714,https://cpu.userbenchmark.com/SpeedTest/1345527/11th-Gen-IntelR-CoreTM-i5-1145G7---260GHz
CPU,,Intel,Xeon E3-1240 v3,238,74.6,2336,https://cpu.userbenchmark.com/SpeedTest/4602/IntelR-XeonR-CPU-E3-1240-v3---340GHz
CPU,,Intel,Xeon E5-1650 0,239,74.6,8748,https://cpu.userbenchmark.com/SpeedTest/7093/IntelR-XeonR-CPU-E5-1650-0---320GHz
CPU,BX80646E31230V3,Intel,Xeon E3-1230 v3,240,74.6,7100,https://cpu.userbenchmark.com/SpeedTest/2171/IntelR-XeonR-CPU-E3-1230-v3---330GHz
CPU,FH8068403419522,Intel,Core i5-8259U,241,74.5,3051,https://cpu.userbenchmark.com/SpeedTest/543736/IntelR-CoreTM-i5-8259U-CPU---230GHz
CPU,YD160XBCAEWOF,AMD,Ryzen 5 1600X,242,74.5,145085,https://cpu.userbenchmark.com/AMD-Ryzen-5-1600X/Rating/3920
